URI,Label,
http://collection.britishmuseum.org/id/thesauri/script/handwritten-pencil,Handwritten pencil,
http://collection.britishmuseum.org/id/thesauri/script/hebrew,Hebrew,
http://collection.britishmuseum.org/id/thesauri/script/heiroglyphic,Heiroglyphic,
http://collection.britishmuseum.org/id/thesauri/script/hieratic,Hieratic,
http://collection.britishmuseum.org/id/thesauri/script/hieratic,Hieratic(?),
http://collection.britishmuseum.org/id/thesauri/script/hieroglyph,Hieroglyph,
http://collection.britishmuseum.org/id/thesauri/script/hieroglyphic,Hieroglyphic,
http://collection.britishmuseum.org/id/thesauri/script/hieroglyphic,Hieroglyphic(?),
http://collection.britishmuseum.org/id/thesauri/script/hieroglyphs,Hieroglyphs,
http://collection.britishmuseum.org/id/thesauri/script/hindi,Hindi,
http://collection.britishmuseum.org/id/thesauri/script/iberian,Iberian,
http://collection.britishmuseum.org/id/thesauri/script/indian,Indian,
http://collection.britishmuseum.org/id/thesauri/script/indian-siddham,Indian Siddham,
http://collection.britishmuseum.org/id/thesauri/script/indic,Indic,
http://collection.britishmuseum.org/id/thesauri/script/indistinct,Indistinct,
http://collection.britishmuseum.org/id/thesauri/script/indus,Indus,
http://collection.britishmuseum.org/id/thesauri/script/indus-valley,Indus Valley,
http://collection.britishmuseum.org/id/thesauri/script/inscribed,Inscribed,
http://collection.britishmuseum.org/id/thesauri/script/insular,Insular,
http://collection.britishmuseum.org/id/thesauri/script/inuktitut-syllabic,Inuktitut syllabic,
http://collection.britishmuseum.org/id/thesauri/script/ionian-greek-alphabet,Ionian Greek alphabet (?),
http://collection.britishmuseum.org/id/thesauri/script/ionic,Ionic,
http://collection.britishmuseum.org/id/thesauri/script/italic,Italic,
http://collection.britishmuseum.org/id/thesauri/script/italic-capitals,Italic capitals,
http://collection.britishmuseum.org/id/thesauri/script/italiot,Italiot,
http://collection.britishmuseum.org/id/thesauri/script/italiot-/-lepontic,Italiot / Lepontic,
http://collection.britishmuseum.org/id/thesauri/script/jafri,Jafri,
http://collection.britishmuseum.org/id/thesauri/script/japanese,Japanese,
http://collection.britishmuseum.org/id/thesauri/script/japanese-reverse,Japanese (reverse),
http://collection.britishmuseum.org/id/thesauri/script/japanese-and-arabic,Japanese and Arabic,
http://collection.britishmuseum.org/id/thesauri/script/japanese-and-roman,Japanese and Roman,
http://collection.britishmuseum.org/id/thesauri/script/japanese,Japanese?,
http://collection.britishmuseum.org/id/thesauri/script/kaishhu,Kaishhu,
http://collection.britishmuseum.org/id/thesauri/script/kaishu,Kaishu,
http://collection.britishmuseum.org/id/thesauri/script/kaishu,Kaishu ??,
http://collection.britishmuseum.org/id/thesauri/script/kaithi,Kaithi,
http://collection.britishmuseum.org/id/thesauri/script/kanji,Kanji,
http://collection.britishmuseum.org/id/thesauri/script/kannada,Kannada,
http://collection.britishmuseum.org/id/thesauri/script/kharoshth,Kharoshth,
http://collection.britishmuseum.org/id/thesauri/script/kharoshthi,Kharoshthi,
http://collection.britishmuseum.org/id/thesauri/script/kharoshti,Kharoshti,
http://collection.britishmuseum.org/id/thesauri/script/kharo-h,Kharo??h?,
http://collection.britishmuseum.org/id/thesauri/script/khmer,Khmer,
http://collection.britishmuseum.org/id/thesauri/script/kufic,Kufic,
http://collection.britishmuseum.org/id/thesauri/script/kufic-and-coptic,Kufic and Coptic,
http://collection.britishmuseum.org/id/thesauri/script/kufic-and-roman,Kufic and Roman,
http://collection.britishmuseum.org/id/thesauri/script/kufic,Kufic(?),
http://collection.britishmuseum.org/id/thesauri/script/kufuc,Kufuc,
http://collection.britishmuseum.org/id/thesauri/script/kutila,Kutila,
http://collection.britishmuseum.org/id/thesauri/script/latin,LATIN,
http://collection.britishmuseum.org/id/thesauri/script/lit..ra-f,LIT..RA F,
http://collection.britishmuseum.org/id/thesauri/script/lantsa,Lantsa,
http://collection.britishmuseum.org/id/thesauri/script/lantsha,Lantsha,
http://collection.britishmuseum.org/id/thesauri/script/lao,Lao,
