URI,Label,Scope Note
http://collection.britishmuseum.org/id/thesauri/currency/halala,halala,
http://collection.britishmuseum.org/id/thesauri/currency/halbling,halbling,
http://collection.britishmuseum.org/id/thesauri/currency/haler,haler,
http://collection.britishmuseum.org/id/thesauri/currency/half-Bahar-Azadi,half Bahar Azadi,
http://collection.britishmuseum.org/id/thesauri/currency/half-stater,half stater,
http://collection.britishmuseum.org/id/thesauri/currency/half-unit,half unit,
http://collection.britishmuseum.org/id/thesauri/currency/halfcrown,halfcrown,
http://collection.britishmuseum.org/id/thesauri/currency/halfgroat,halfgroat,
http://collection.britishmuseum.org/id/thesauri/currency/halfpenny,halfpenny,
http://collection.britishmuseum.org/id/thesauri/currency/halier,halier,
http://collection.britishmuseum.org/id/thesauri/currency/haller,haller,
http://collection.britishmuseum.org/id/thesauri/currency/handheller,handheller,
http://collection.britishmuseum.org/id/thesauri/currency/hao,hao,
http://collection.britishmuseum.org/id/thesauri/currency/hardhead,hardhead,
http://collection.britishmuseum.org/id/thesauri/currency/hardi,hardi,
http://collection.britishmuseum.org/id/thesauri/currency/hat-piece,hat piece,
http://collection.britishmuseum.org/id/thesauri/currency/heaume,heaume,
http://collection.britishmuseum.org/id/thesauri/currency/heller,heller,
http://collection.britishmuseum.org/id/thesauri/currency/helm,helm,
http://collection.britishmuseum.org/id/thesauri/currency/helmgroschen,helmgroschen,
http://collection.britishmuseum.org/id/thesauri/currency/hemidrachm,hemidrachm,
http://collection.britishmuseum.org/id/thesauri/currency/hemiobol,hemiobol,
http://collection.britishmuseum.org/id/thesauri/currency/hemistater,hemistater,
http://collection.britishmuseum.org/id/thesauri/currency/hemitetartemoria,hemitetartemoria,
http://collection.britishmuseum.org/id/thesauri/currency/heptachalca,heptachalca,
http://collection.britishmuseum.org/id/thesauri/currency/hexagram,hexagram,
http://collection.britishmuseum.org/id/thesauri/currency/hohlblaffert,hohlblaffert,
http://collection.britishmuseum.org/id/thesauri/currency/hohlheller,hohlheller,
http://collection.britishmuseum.org/id/thesauri/currency/hohlpfennig,hohlpfennig,
http://collection.britishmuseum.org/id/thesauri/currency/hohlscherf,hohlscherf,
http://collection.britishmuseum.org/id/thesauri/currency/holey-dollar,holey dollar,
http://collection.britishmuseum.org/id/thesauri/currency/hong-kong-dollar,hong kong dollar,
http://collection.britishmuseum.org/id/thesauri/currency/horngroschen,horngroschen,
http://collection.britishmuseum.org/id/thesauri/currency/hornpfennig,hornpfennig,
http://collection.britishmuseum.org/id/thesauri/currency/hour,hour,
http://collection.britishmuseum.org/id/thesauri/currency/hrysus,hrysus,
http://collection.britishmuseum.org/id/thesauri/currency/hryvnia,hryvnia,
http://collection.britishmuseum.org/id/thesauri/currency/hvid,hvid,
http://collection.britishmuseum.org/id/thesauri/currency/hwan,hwan,
http://collection.britishmuseum.org/id/thesauri/currency/hyperpyron,hyperpyron,
http://collection.britishmuseum.org/id/thesauri/currency/inti,inti,
http://collection.britishmuseum.org/id/thesauri/currency/iohanna,iohanna,
http://collection.britishmuseum.org/id/thesauri/currency/jaeger,jaeger,
http://collection.britishmuseum.org/id/thesauri/currency/jau,jau,
http://collection.britishmuseum.org/id/thesauri/currency/jawa,jawa,
http://collection.britishmuseum.org/id/thesauri/currency/jeon,jeon,
http://collection.britishmuseum.org/id/thesauri/currency/jiao,jiao,
http://collection.britishmuseum.org/id/thesauri/currency/jin,jin,
http://collection.britishmuseum.org/id/thesauri/currency/joe,joe,
http://collection.britishmuseum.org/id/thesauri/currency/judenkopfgroschen,judenkopfgroschen,
http://collection.britishmuseum.org/id/thesauri/currency/kali-fanam,kali fanam,
http://collection.britishmuseum.org/id/thesauri/currency/kapeek,kapeek,
http://collection.britishmuseum.org/id/thesauri/currency/kapiekas,kapiekas,
http://collection.britishmuseum.org/id/thesauri/currency/karbovanets,karbovanets,
http://collection.britishmuseum.org/id/thesauri/currency/karbowanez,karbowanez,
http://collection.britishmuseum.org/id/thesauri/currency/karpov,karpov,
http://collection.britishmuseum.org/id/thesauri/currency/karshapana,karshapana,
http://collection.britishmuseum.org/id/thesauri/currency/kas,kas,
http://collection.britishmuseum.org/id/thesauri/currency/katterfinken,katterfinken,
http://collection.britishmuseum.org/id/thesauri/currency/keping,keping,
http://collection.britishmuseum.org/id/thesauri/currency/key,key,
http://collection.britishmuseum.org/id/thesauri/currency/kina,kina,
http://collection.britishmuseum.org/id/thesauri/currency/kip,kip,
http://collection.britishmuseum.org/id/thesauri/currency/klinkaert,klinkaert,
http://collection.britishmuseum.org/id/thesauri/currency/koban,koban,
http://collection.britishmuseum.org/id/thesauri/currency/kobo,kobo,
http://collection.britishmuseum.org/id/thesauri/currency/koertling,koertling,
http://collection.britishmuseum.org/id/thesauri/currency/kollybos,kollybos,
http://collection.britishmuseum.org/id/thesauri/currency/koneek,koneek,
http://collection.britishmuseum.org/id/thesauri/currency/konte,konte,
http://collection.britishmuseum.org/id/thesauri/currency/konventionsthaler,konventionsthaler,
http://collection.britishmuseum.org/id/thesauri/currency/kopek,kopek,
http://collection.britishmuseum.org/id/thesauri/currency/kopfchen,kopfchen,
http://collection.britishmuseum.org/id/thesauri/currency/kopiyka,kopiyka,
http://collection.britishmuseum.org/id/thesauri/currency/kopken,kopken,
http://collection.britishmuseum.org/id/thesauri/currency/korona,korona,
http://collection.britishmuseum.org/id/thesauri/currency/koronarol,koronarol,
http://collection.britishmuseum.org/id/thesauri/currency/korte,korte,
http://collection.britishmuseum.org/id/thesauri/currency/korun,korun,
http://collection.britishmuseum.org/id/thesauri/currency/koruna,koruna,
http://collection.britishmuseum.org/id/thesauri/currency/koti,koti,
http://collection.britishmuseum.org/id/thesauri/currency/koula,koula,
http://collection.britishmuseum.org/id/thesauri/currency/krajczar,krajczar,
http://collection.britishmuseum.org/id/thesauri/currency/kran,kran,
http://collection.britishmuseum.org/id/thesauri/currency/kreuzer,kreuzer,
http://collection.britishmuseum.org/id/thesauri/currency/kreuzgroschen,kreuzgroschen,
http://collection.britishmuseum.org/id/thesauri/currency/krona,krona,
http://collection.britishmuseum.org/id/thesauri/currency/krone,krone,
http://collection.britishmuseum.org/id/thesauri/currency/kroon,kroon,
http://collection.britishmuseum.org/id/thesauri/currency/krugerrand,krugerrand,
http://collection.britishmuseum.org/id/thesauri/currency/kumish,kumish,
http://collection.britishmuseum.org/id/thesauri/currency/kuna,kuna,
http://collection.britishmuseum.org/id/thesauri/currency/kupfurdente,kupfurdente,
http://collection.britishmuseum.org/id/thesauri/currency/kurush,kurush,
http://collection.britishmuseum.org/id/thesauri/currency/kwacha,kwacha,
http://collection.britishmuseum.org/id/thesauri/currency/kwanzas,kwanzas,
http://collection.britishmuseum.org/id/thesauri/currency/kwanzas-reajustados,kwanzas reajustados,
http://collection.britishmuseum.org/id/thesauri/currency/kyat,kyat,
http://collection.britishmuseum.org/id/thesauri/currency/kyrmis,kyrmis,
http://collection.britishmuseum.org/id/thesauri/currency/laari,laari,
http://collection.britishmuseum.org/id/thesauri/currency/lang,lang,
http://collection.britishmuseum.org/id/thesauri/currency/lari,lari,
http://collection.britishmuseum.org/id/thesauri/currency/larin,larin,
http://collection.britishmuseum.org/id/thesauri/currency/lats,lats,
http://collection.britishmuseum.org/id/thesauri/currency/laurel,laurel,
http://collection.britishmuseum.org/id/thesauri/currency/lega,lega,
http://collection.britishmuseum.org/id/thesauri/currency/lek,lek,
http://collection.britishmuseum.org/id/thesauri/currency/lempira,lempira,
http://collection.britishmuseum.org/id/thesauri/currency/leone,leone,
http://collection.britishmuseum.org/id/thesauri/currency/leopard,leopard,
http://collection.britishmuseum.org/id/thesauri/currency/lepton,lepton,
http://collection.britishmuseum.org/id/thesauri/currency/leu,leu,
http://collection.britishmuseum.org/id/thesauri/currency/lev,lev,
http://collection.britishmuseum.org/id/thesauri/currency/lev-srebro,lev srebro,
http://collection.britishmuseum.org/id/thesauri/currency/lev-zlato,lev zlato,
http://collection.britishmuseum.org/id/thesauri/currency/li,li,
http://collection.britishmuseum.org/id/thesauri/currency/liang,liang,
http://collection.britishmuseum.org/id/thesauri/currency/liard,liard,
http://collection.britishmuseum.org/id/thesauri/currency/libra,libra,
http://collection.britishmuseum.org/id/thesauri/currency/libra-esterlina,libra esterlina,
http://collection.britishmuseum.org/id/thesauri/currency/licente,licente,
http://collection.britishmuseum.org/id/thesauri/currency/licente/lisente,licente/lisente,
http://collection.britishmuseum.org/id/thesauri/currency/likuta,likuta,
http://collection.britishmuseum.org/id/thesauri/currency/lilangeni,lilangeni,
http://collection.britishmuseum.org/id/thesauri/currency/lion,lion,
http://collection.britishmuseum.org/id/thesauri/currency/lion-daalder,lion daalder,
http://collection.britishmuseum.org/id/thesauri/currency/lion-noble,lion noble,
